id,title,content,due_date,is_complete,assigned_to,created_at,updated_at
1,"Optimisation des performances front-end avec Webpack","Optimisation des performances front-end avec Webpack - Cette tâche consiste à implémenter ou améliorer une fonctionnalité spécifique dans un projet de développement web. Il s'agit de optimisation des performances front-end avec webpack.",2024-11-01,0,Alice,"2024-09-25 13:48:07","2024-09-25 13:48:07"
2,"Mise en place d'une API GraphQL dans un projet Node.js","Mise en place d'une API GraphQL dans un projet Node.js - Cette tâche consiste à implémenter ou améliorer une fonctionnalité spécifique dans un projet de développement web. Il s'agit de mise en place d'une api graphql dans un projet node.js.",2024-11-01,0,John,"2024-09-27 13:48:07","2024-09-27 13:48:07"
3,"Refactoring d'une application React pour améliorer la lisibilité du code","Refactoring d'une application React pour améliorer la lisibilité du code - Cette tâche consiste à implémenter ou améliorer une fonctionnalité spécifique dans un projet de développement web. Il s'agit de refactoring d'une application react pour améliorer la lisibilité du code.",2024-11-01,1,Alice,"2024-09-28 13:48:07","2024-09-28 13:48:07"
4,"Création d'un composant personnalisé avec Vue.js","Création d'un composant personnalisé avec Vue.js - Cette tâche consiste à implémenter ou améliorer une fonctionnalité spécifique dans un projet de développement web. Il s'agit de création d'un composant personnalisé avec vue.js.",2024-11-01,1,Jane,"2024-09-24 13:48:07","2024-09-24 13:48:07"
5,"Amélioration du SEO pour une application Next.js","Amélioration du SEO pour une application Next.js - Cette tâche consiste à implémenter ou améliorer une fonctionnalité spécifique dans un projet de développement web. Il s'agit de amélioration du seo pour une application next.js.",2024-11-01,1,Alice,"2024-09-17 13:48:07","2024-09-17 13:48:07"
6,"Implémentation de l'authentification JWT dans une API REST","Implémentation de l'authentification JWT dans une API REST - Cette tâche consiste à implémenter ou améliorer une fonctionnalité spécifique dans un projet de développement web. Il s'agit de implémentation de l'authentification jwt dans une api rest.",2024-10-24,1,John,"2024-09-23 13:48:07","2024-09-23 13:48:07"
7,"Déploiement continu avec Docker et Kubernetes pour un projet PHP","Déploiement continu avec Docker et Kubernetes pour un projet PHP - Cette tâche consiste à implémenter ou améliorer une fonctionnalité spécifique dans un projet de développement web. Il s'agit de déploiement continu avec docker et kubernetes pour un projet php.",2024-12-15,0,John,"2024-09-22 13:48:07","2024-09-22 13:48:07"
8,"Intégration d'un thème dynamique avec Tailwind CSS","Intégration d'un thème dynamique avec Tailwind CSS - Cette tâche consiste à implémenter ou améliorer une fonctionnalité spécifique dans un projet de développement web. Il s'agit de intégration d'un thème dynamique avec tailwind css.",2024-12-15,0,Jane,"2024-10-01 13:48:07","2024-10-01 13:48:07"
9,"Mise en place du server-side rendering avec Nuxt.js","Mise en place du server-side rendering avec Nuxt.js - Cette tâche consiste à implémenter ou améliorer une fonctionnalité spécifique dans un projet de développement web. Il s'agit de mise en place du server-side rendering avec nuxt.js.",2024-12-15,0,John,"2024-09-20 13:48:07","2024-09-20 13:48:07"
10,"Migration d'une base de données MySQL vers PostgreSQL","Migration d'une base de données MySQL vers PostgreSQL - Cette tâche consiste à implémenter ou améliorer une fonctionnalité spécifique dans un projet de développement web. Il s'agit de migration d'une base de données mysql vers postgresql.",2024-10-24,1,John,"2024-10-06 13:48:07","2024-10-06 13:48:07"
